sentence,polarity
my first visit was a few days ago  but never the less  as i remember the soft savory deliciousness of my lamb shank  the couscous raining down my throat and the bouquet of roses that blossomed in my mouth with every sip of my lemonade  i drool im really starting to salivate now and need to push my key board out of drools way   the appetizer portions are for one person strange  i know  so dont go into getting an appetizer thinking youll share with a friend   the neighborhood is quiet and the restaurant is cozy  staff is very pleasant  and i am officially a fan  terrifically tasty tunisian treats for the tummy,positive
i dont know why anyone eats ice cream anymore,positive
im not a vegetarian or vegan  so when this place was recommended to me  i was skeptical i decided to try it  though  and it is so delicious i have been here a bunch recently and i havent had a bad dish  to order here  you choose one of three pizza dough  brown rice  or coconut rice and an entree to go on top they have daily specials which are delicious and soups of the week i just recently had tomato and lentil soup which was delicious  also  it is a small space and is part of a music club  club passim you will be asked upon entering if youre there for the show or for dinner you may have to wait for a table  especially if you have 4 people  and takeout is always a fast  delicious option also  before 4 or 5pm  there are no waiters  so you just place your order through a window to the cook  it is a little hard to find  take a look at the pictures on yelp its a basement and connected to club passim  so if youre going here at night  you may hear music from the club just follow that and youll figure it out  they also have 2 beers on tap and desserts,positive
sensational  an adult cupcake with oozyfilling  buttercream frosting was to die for  at last nights victory party  i ate a yummy meyer lemon cupcake  a coffeeflavored one  and a chocolate one    im not usually a cupcake fanatic  but these were delicious f,positive
i just went last week the restaurant gets 5 stars because the staff is excellent friendly  knowledgeable  the food is superb  and the ambiance is great  one warning i went expecting real southern food i went with my mother  from texas  and father  from virginia  and told them it was southern it is not traditional southern  but still delicious my mom and dad both said it was great  just not real southern  i had the catfish  my mom had the chicken  my dad had the pork i loved the catfish  and my parents loved their dishes for desert  we had the peach melba that was the most delicious desert i can remember having if you go  get the melba its seasonal so get it while it lasts,positive
this place is great they have a lot of cocktails  so you can go here plenty of times without having to drink the same drink twice  and they are all great they also have good beer and a pretty big wine list  though ive never had wine here  the food looks amazing  but i havent had dinner here yet i have had the chips and dip  though both the chips and the dip are homemade and so amazingly delicious  i wont look at chips the same way again  sundays are stout  oyster night  where with every stout you get  you also get a free oyster i love sundays here wednesdays are mexicantheme and they have a whole list of cocktails made with tequila they also have a mexicantheme snack list for wednesdays both nights are fun and delicious  the atmosphere is maybe the best part  for me green street has a cozy  intimate feeling while still having a chic feel the music is usually soul and funk  which i love  but there are other styles mixed in  the staff is friendly  and good at their jobs  if youre having a hard time finding the place  youre not alone it looks sketchy from the outside  but is amazing on the inside the best advise i have is to look at the pictures on yelp if you take a look at them  youll have a much easier time finding it,positive
being so far away from pinkberry makes me a little sad  but now theres the bigger and better berry line a mere hour away in nearby boston though i wouldnt trek it just for froyo would i  tasting that good and still low fat is a beautiful thing regular flavor never gets old its smoother and creamier than pinkberry and definitely less tart  which is why berry line trumps pinkberry now i can add pineapple topping without my glands going wild  topping choices include your cereals  fruits  and chocolates personal fav fruity pebbles  banana  and mochi inside is quaint and cute as a button makes you want to sit and talk about happy thoughts,positive
any visit to central will almost guarantee a visit to miracle partly because my friend works here  but morely because i just frickin love the vibe  the black top tables remind me of my chemistry labs everytime i walk in my eyes divert directly to that triangle table in the middle my mind runs and i picture myself having one too many beers  stumbling  and whacking my head right on the pointy part ha ha  anyways beers keep flowing  staff is laidback burgers jumbo  juicy steakeggs and very importantly their veggie burgers are the best ive ever tasted in my entire existence probably has a lot to do with the sauce its incredibly great,positive
go with the sicilian pan  weve been eating here for years and it never disappoints  be ready to wait 30 to 40 minutes for a pizza  but its worth it  beer prices are not bad and service was great,positive
i would highly recommend the lamb curry which is spicy and comes with fragrant basmati rice the naan is really great too i also enjoy the aloo tikki appetizer  as well as the samosas i am not an expert on indian food so i cant tell you how authentic it is  but i can tell you that it is delicious,positive
i had a great experience at golden harbor i would recommend going with a group of people because the entrees are rather large we ordered 6 entrees for 8 people  but i think we could have finished a 7th entree if we had it  my favorite things that we ordered were the fried basil chicken  the crispy tofu  and the pork buns the basil chicken was nicely spicy and the texture of the breaded meat was wonderful the crispy tofu was in a sweet sort of sauce that i really enjoyed we assembled the pork buns ourselves because they were served as a plate of meat  a container of buns  and a plate of garnishes crushed peanuts  some sort of veggies  and cilantro the menu is very extensive  so be prepared to spend some time looking through it though you really cant go wrong with the basil chicken or crispy tofu   when you arrive at the restaurant  you take a table number  menu  and ordering slip to a table of your choice then after you decide what you want  you bring your order slip up to the counter and pay it works best for a group if everyone brings cash to split the cost because im not sure that they allow separate checks from one table then someone will bring your food to your table tea is free  and you can simply serve yourself at the end of your meal you clear your own dishes  or else pay a few dollars to have them bus your table for you,positive
papa dels is my favorite pizza restaurant  and definitely worth the wait for delivery  ive experienced it taking everywhere from 45 minutes to 2 hours to arrive  but id say it is most often 4560 minutes if you are planning to dine in at the restaurant  i would recommend calling the restaurant about 20 minutes before you plan to be there to preorder your pizza this significantly cuts down on your waiting time at the restaurant take out is the fastest option my pizza has always been ready within 45 minutes of placing my order  the deep dish pan pizza is their specialty the toppings are always fresh and delicious i order garlic on every pizza i get from papa dels because it is just so fresh and delicious im not a big sausage fan  but i enjoy theirs very much my favorite combination of toppings to get is garlic  sausage  black olives  and green peppers yum,positive
